# Elements 1e+06
[00000.316 ms] [1.644933] multiplySeq
[00000.074 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=1]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=2]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=3]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=4]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=6]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=8]
[00000.052 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=12]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=16]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=24]
[00000.053 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=32]
[00000.057 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=48]
[00000.067 ms] [1.644933] multiplyCuda<<<auto, 32>>> [thread-duty=64]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=1]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=2]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=3]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=4]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=6]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=8]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=12]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=16]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=24]
[00000.055 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=32]
[00000.058 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=48]
[00000.064 ms] [1.644933] multiplyCuda<<<auto, 64>>> [thread-duty=64]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=1]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=2]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=3]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=4]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=6]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=8]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=12]
[00000.052 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=16]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=24]
[00000.053 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=32]
[00000.058 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=48]
[00000.065 ms] [1.644933] multiplyCuda<<<auto, 128>>> [thread-duty=64]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=1]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=2]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=3]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=4]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=6]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=8]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=12]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=16]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=24]
[00000.053 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=32]
[00000.060 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=48]
[00000.066 ms] [1.644933] multiplyCuda<<<auto, 256>>> [thread-duty=64]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=1]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=2]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=3]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=4]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=6]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=8]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=12]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=16]
[00000.053 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=24]
[00000.054 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=32]
[00000.060 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=48]
[00000.068 ms] [1.644933] multiplyCuda<<<auto, 512>>> [thread-duty=64]
[00000.050 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=1]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=2]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=3]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=4]
[00000.051 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=6]
[00000.049 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=8]
[00000.052 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=12]
[00000.052 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=16]
[00000.053 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=24]
[00000.056 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=32]
[00000.063 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=48]
[00000.073 ms] [1.644933] multiplyCuda<<<auto, 1024>>> [thread-duty=64]

# Elements 1e+07
[00008.895 ms] [1.644934] multiplySeq
[00000.302 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=1]
[00000.300 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=2]
[00000.300 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=3]
[00000.301 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=4]
[00000.305 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=6]
[00000.308 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=8]
[00000.302 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=12]
[00000.300 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=16]
[00000.312 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=24]
[00000.301 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=32]
[00000.312 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=48]
[00000.307 ms] [1.644934] multiplyCuda<<<auto, 32>>> [thread-duty=64]
[00000.315 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=1]
[00000.315 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=2]
[00000.299 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=3]
[00000.300 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=4]
[00000.301 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=6]
[00000.303 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=8]
[00000.303 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=12]
[00000.301 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=16]
[00000.303 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=24]
[00000.306 ms] [1.644934] multiplyCuda<<<auto, 64>>> [thread-duty=32]
